INFO     | This is rossum v0.1.7
DEBUG    | Checking: E:\Dropbox\Programming\Git\Ka-Boost\build\robot.ini        
WARNING  | No robot.ini in CWD, and no alternative provided, trying source space
DEBUG    | Checking: E:\Dropbox\Programming\Git\Ka-Boost\lib\socket\robot.ini   
INFO     | Found robot.ini in source space
WARNING  | Found robot.ini contains potentially conflicting ktrans settings!       
INFO     | Found Roboguide version: V9.1098 (Rev.F)
DEBUG    | Most likely FANUC base-dir: C:\Program Files (x86)\FANUC
INFO     | Using C:\Program Files (x86)\FANUC as FANUC software base directory     
INFO     | ktrans.exe location: C:\Program Files (x86)\Fanuc\WinOLPC\bin\ktrans.exe
INFO     | ktransw.cmd location: E:\Dropbox\Programming\Fanuc\rossum-distrib\ktransw.cmd
INFO     | maketp.exe location: C:\Program Files (x86)\Fanuc\WinOLPC\bin\maketp.exe
INFO     | tpp.bat location: E:\Dropbox\Programming\Fanuc\one-robotics\tp_plus\bin\tpp.bat
INFO     | yamljson2xml.cmd location: E:\Dropbox\Programming\Fanuc\rossum-distrib\yamljson2xml.cmd
INFO     | kcdictw.cmd location: E:\Dropbox\Programming\Fanuc\rossum-distrib\kcdictw.cmd
INFO     | Setting default system core version to: V910-1
DEBUG    | Trying to find support dir for core version: V910-1
DEBUG    | Looking in C:\Program Files (x86)\FANUC\WinOLPC\Versions\V910-1\support ..
DEBUG    | Found V910-1 support dir: C:\Program Files (x86)\FANUC\WinOLPC\Versions\V910-1\support
INFO     | Karel core support dir: C:\Program Files (x86)\FANUC\WinOLPC\Versions\V910-1\support
DEBUG    | Using build file template: E:\Dropbox\Programming\Fanuc\rossum-distrib\build.ninja.em
INFO     | Source space(s) searched for packages (in order: src, args):
INFO     |   E:\Dropbox\Programming\Git\Ka-Boost\lib\socket
DEBUG    | Searching in E:\Dropbox\Programming\Git\Ka-Boost\lib\socket
DEBUG    |   found 1 manifest(s)
DEBUG    | Found 1 manifest(s) total
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\socket
INFO     | Found 1 package(s) in source space(s):
INFO     |   socket (v0.0.1)
INFO     | Other location(s) searched for packages (ROSSUM_PKG_PATH):
INFO     |   E:\Dropbox\Programming\Git\Ka-Boost\lib
INFO     |   E:\Dropbox\Programming\Git\rossum_ws\src
DEBUG    | Searching in E:\Dropbox\Programming\Git\Ka-Boost\lib
DEBUG    |   found 24 manifest(s)
DEBUG    | Searching in E:\Dropbox\Programming\Git\rossum_ws\src
DEBUG    |   found 6 manifest(s)
DEBUG    | Found 30 manifest(s) total
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\csv
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\display
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\draw
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\errors
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\files
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\forms
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\graph
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\hash
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\ktransw-macros
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\KUnit
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\math
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\matrix
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\multitask
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\paths
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\pose
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\queue
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\registers
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\sensors\tof
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\shapes
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\socket
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\Strings
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\system
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\TPE
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\Ka-Boost\lib\xmlib
DEBUG    | Loaded package.json from E:\Dropbox\Programming\Git\rossum_ws\src\auto_frame
